tournament,year,n_teams,n_rounds,team,pos,gp,total_pts,obtained_pts,stage,final_stage_num,,,,,,
campeonato sud,1924,4,1,URU,1,3,6,5,campeon,1,,,,,,
campeonato sud,1924,4,1,ARG,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1924,4,1,PAR,3,3,6,3,3er lugar,1,,,,,,
campeonato sud,1924,4,1,CHI,4,3,6,0,4to lugar,1,,,,,,
campeonato sud,1925,3,1,ARG,1,4,8,7,campeon,1,,,,,,
campeonato sud,1925,3,1,BRA,2,4,8,5,subcampeon,1,,,,,,
campeonato sud,1925,3,1,PAR,3,4,8,0,3er lugar,1,,,,,,
campeonato sud,1926,5,1,URU,1,4,8,8,campeon,1,,,,,,
campeonato sud,1926,5,1,ARG,2,4,8,5,subcampeon,1,,,,,,
campeonato sud,1926,5,1,CHI,3,4,8,5,3er lugar,1,,,,,,
campeonato sud,1926,5,1,PAR,4,4,8,2,4to lugar,1,,,,,,
campeonato sud,1926,5,1,BOL,5,4,8,0,5to lugar,1,,,,,,
campeonato sud,1927,4,1,ARG,1,3,6,6,campeon,1,,,,,,
campeonato sud,1927,4,1,URU,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1927,4,1,PER,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1927,4,1,BOL,4,3,6,0,4to lugar,1,,,,,,
campeonato sud,1929,4,1,ARG,1,3,6,6,campeon,1,,,,,,
campeonato sud,1929,4,1,PAR,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1929,4,1,URU,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1929,4,1,PER,4,3,6,0,4to lugar,1,,,,,,
campeonato sud,1935,4,1,URU,1,3,6,6,campeon,1,,,,,,
campeonato sud,1935,4,1,ARG,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1935,4,1,PER,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1935,4,1,CHI,4,3,6,0,4to lugar,1,,,,,,
campeonato sud,1937,6,2,ARG,1,6,12,10,campeon,2,,,,,,
campeonato sud,1937,6,2,BRA,2,6,12,8,subcampeon,2,,,,,,
campeonato sud,1937,6,2,URU,3,5,10,4,3er lugar,1,,,,,,
campeonato sud,1937,6,2,PAR,4,5,10,4,4to lugar,1,,,,,,
campeonato sud,1937,6,2,CHI,5,5,10,3,5to lugar,1,,,,,,
campeonato sud,1937,6,2,PER,6,5,10,3,6to lugar,1,,,,,,
campeonato sud,1939,5,1,PER,1,4,8,8,campeon,1,,,,,,
campeonato sud,1939,5,1,URU,2,4,8,6,subcampeon,1,,,,,,
campeonato sud,1939,5,1,PAR,3,4,8,4,3er lugar,1,,,,,,
campeonato sud,1939,5,1,CHI,4,4,8,2,4to lugar,1,,,,,,
campeonato sud,1939,5,1,ECU,5,4,8,0,5to lugar,1,,,,,,
campeonato sud,1941,5,1,ARG,1,4,8,8,campeon,1,,,,,,
campeonato sud,1941,5,1,URU,2,4,8,6,subcampeon,1,,,,,,
campeonato sud,1941,5,1,CHI,3,4,8,4,3er lugar,1,,,,,,
campeonato sud,1941,5,1,PER,4,4,8,2,4to lugar,1,,,,,,
campeonato sud,1941,5,1,ECU,5,4,8,0,5to lugar,1,,,,,,
campeonato sud,1942,7,1,URU,1,6,12,12,campeon,1,,,,,,
campeonato sud,1942,7,1,ARG,2,6,12,9,subcampeon,1,,,,,,
campeonato sud,1942,7,1,BRA,3,6,12,7,3er lugar,1,,,,,,
campeonato sud,1942,7,1,PAR,4,6,12,6,4to lugar,1,,,,,,
campeonato sud,1942,7,1,PER,5,6,12,4,5to lugar,1,,,,,,
campeonato sud,1942,7,1,CHI,6,6,12,4,6to lugar,1,,,,,,
campeonato sud,1942,7,1,ECU,7,6,12,0,7mo lugar,1,,,,,,
campeonato sud,1945,7,1,ARG,1,6,12,11,campeon,1,,,,,,
campeonato sud,1945,7,1,BRA,2,6,12,10,subcampeon,1,,,,,,
campeonato sud,1945,7,1,CHI,3,6,12,9,3er lugar,1,,,,,,
campeonato sud,1945,7,1,URU,4,6,12,6,4to lugar,1,,,,,,
campeonato sud,1945,7,1,COL,5,6,12,3,5to lugar,1,,,,,,
campeonato sud,1945,7,1,BOL,6,6,12,2,6to lugar,1,,,,,,
campeonato sud,1945,7,1,ECU,7,6,12,1,7mo lugar,1,,,,,,
campeonato sud,1946,6,1,ARG,1,5,10,10,campeon,1,,,,,,
campeonato sud,1946,6,1,BRA,2,5,10,7,subcampeon,1,,,,,,
campeonato sud,1946,6,1,PAR,3,5,10,5,3er lugar,1,,,,,,
campeonato sud,1946,6,1,URU,4,5,10,4,4to lugar,1,,,,,,
campeonato sud,1946,6,1,CHI,5,5,10,4,5to lugar,1,,,,,,
campeonato sud,1946,6,1,BOL,6,5,10,0,6to lugar,1,,,,,,
campeonato sud,1947,8,1,ARG,1,7,14,13,campeon,1,,,,,,
campeonato sud,1947,8,1,PAR,2,7,14,11,subcampeon,1,,,,,,
campeonato sud,1947,8,1,URU,3,7,14,10,3er lugar,1,,,,,,
campeonato sud,1947,8,1,CHI,4,7,14,9,4to lugar,1,,,,,,
campeonato sud,1947,8,1,PER,5,7,14,6,5to lugar,1,,,,,,
campeonato sud,1947,8,1,ECU,6,7,14,3,6to lugar,1,,,,,,
campeonato sud,1947,8,1,BOL,7,7,14,2,7mo lugar,1,,,,,,
campeonato sud,1947,8,1,COL,8,7,14,2,8vo lugar,1,,,,,,
campeonato sud,1949,8,2,BRA,1,8,16,14,campeon,2,,,,,,
campeonato sud,1949,8,2,PAR,2,8,16,12,subcampeon,2,,,,,,
campeonato sud,1949,8,2,PER,3,7,14,10,3er lugar,1,,,,,,
campeonato sud,1949,8,2,BOL,4,7,14,8,4to lugar,1,,,,,,
campeonato sud,1949,8,2,CHI,5,7,14,5,5to lugar,1,,,,,,
campeonato sud,1949,8,2,URU,6,7,14,5,6to lugar,1,,,,,,
campeonato sud,1949,8,2,ECU,7,7,14,2,7mo lugar,1,,,,,,
campeonato sud,1949,8,2,COL,8,7,14,2,8vo lugar,1,,,,,,
campeonato sud,1953,7,2,PAR,1,7,14,10,campeon,2,,,,,,
campeonato sud,1953,7,2,BRA,2,7,14,8,subcampeon,2,,,,,,
campeonato sud,1953,7,2,URU,3,6,12,7,3er lugar,1,,,,,,
campeonato sud,1953,7,2,CHI,4,6,12,7,4to lugar,1,,,,,,
campeonato sud,1953,7,2,PER,5,6,12,7,5to lugar,1,,,,,,
campeonato sud,1953,7,2,BOL,6,6,12,3,6to lugar,1,,,,,,
campeonato sud,1953,7,2,ECU,7,6,12,2,7mo lugar,1,,,,,,
campeonato sud,1955,6,1,ARG,1,5,10,9,campeon,1,,,,,,
campeonato sud,1955,6,1,CHI,2,5,10,7,subcampeon,1,,,,,,
campeonato sud,1955,6,1,PER,3,5,10,6,3er lugar,1,,,,,,
campeonato sud,1955,6,1,URU,4,5,10,5,4to lugar,1,,,,,,
campeonato sud,1955,6,1,PAR,5,5,10,3,5to lugar,1,,,,,,
campeonato sud,1955,6,1,ECU,6,5,10,0,6to lugar,1,,,,,,
campeonato sud,1956,6,1,URU,1,5,10,9,campeon,1,,,,,,
campeonato sud,1956,6,1,CHI,2,5,10,6,subcampeon,1,,,,,,
campeonato sud,1956,6,1,ARG,3,5,10,6,3er lugar,1,,,,,,
campeonato sud,1956,6,1,BRA,4,5,10,6,4to lugar,1,,,,,,
campeonato sud,1956,6,1,PAR,5,5,10,2,5to lugar,1,,,,,,
campeonato sud,1956,6,1,PER,6,5,10,1,6to lugar,1,,,,,,
campeonato sud,1957,7,1,ARG,1,6,12,10,campeon,1,,,,,,
campeonato sud,1957,7,1,BRA,2,6,12,8,subcampeon,1,,,,,,
campeonato sud,1957,7,1,PER,3,6,12,8,3er lugar,1,,,,,,
campeonato sud,1957,7,1,URU,4,6,12,8,4to lugar,1,,,,,,
campeonato sud,1957,7,1,COL,5,6,12,4,5to lugar,1,,,,,,
campeonato sud,1957,7,1,CHI,6,6,12,3,6to lugar,1,,,,,,
campeonato sud,1957,7,1,ECU,7,6,12,1,7mo lugar,1,,,,,,
campeonato sud,1959,7,1,ARG,1,6,12,11,campeon,1,,,,,,
campeonato sud,1959,7,1,BRA,2,6,12,10,subcampeon,1,,,,,,
campeonato sud,1959,7,1,PAR,3,6,12,6,3er lugar,1,,,,,,
campeonato sud,1959,7,1,PER,4,6,12,5,4to lugar,1,,,,,,
campeonato sud,1959,7,1,CHI,5,6,12,5,5to lugar,1,,,,,,
campeonato sud,1959,7,1,URU,6,6,12,4,6to lugar,1,,,,,,
campeonato sud,1959,7,1,BOL,7,6,12,1,7mo lugar,1,,,,,,
campeonato sud,1959,5,1,URU,1,4,8,7,campeon,1,,,,,,
campeonato sud,1959,5,1,ARG,2,4,8,5,subcampeon,1,,,,,,
campeonato sud,1959,5,1,BRA,3,4,8,4,3er lugar,1,,,,,,
campeonato sud,1959,5,1,ECU,4,4,8,3,4to lugar,1,,,,,,
campeonato sud,1959,5,1,PAR,5,4,8,1,5to lugar,1,,,,,,
campeonato sud,1963,7,1,BOL,1,6,12,11,campeon,1,,,,,,
campeonato sud,1963,7,1,PAR,2,6,12,9,subcampeon,1,,,,,,
campeonato sud,1963,7,1,ARG,3,6,12,7,3er lugar,1,,,,,,
campeonato sud,1963,7,1,BRA,4,6,12,5,4to lugar,1,,,,,,
campeonato sud,1963,7,1,PER,5,6,12,5,5to lugar,1,,,,,,
campeonato sud,1963,7,1,ECU,6,6,12,4,6to lugar,1,,,,,,
campeonato sud,1963,7,1,COL,7,6,12,1,7mo lugar,1,,,,,,
campeonato sud,1967,6,1,URU,1,5,10,9,campeon,1,,,,,,
campeonato sud,1967,6,1,ARG,2,5,10,8,subcampeon,1,,,,,,
campeonato sud,1967,6,1,CHI,3,5,10,6,3er lugar,1,,,,,,
campeonato sud,1967,6,1,PAR,4,5,10,4,4to lugar,1,,,,,,
campeonato sud,1967,6,1,VEN,5,5,10,2,5to lugar,1,,,,,,
campeonato sud,1967,6,1,BOL,6,5,10,1,6to lugar,1,,,,,,
copa america,1975,10,3,PER,1,9,18,13,campeon,3,,,,,,
copa america,1975,10,3,COL,2,9,18,12,subcampeon,3,,,,,,
copa america,1975,10,3,BRA,3,6,12,10,3er lugar,2,,,,,,
copa america,1975,10,3,URU,4,2,4,2,semifinal,2,,,,,,
copa america,1975,10,3,ARG,5,4,8,4,fase grupos,1,,,,,,
copa america,1975,10,3,CHI,6,4,8,3,fase grupos,1,,,,,,
copa america,1975,10,3,PAR,7,4,8,3,fase grupos,1,,,,,,
copa america,1975,10,3,BOL,8,4,8,2,fase grupos,1,,,,,,
copa america,1975,10,3,ECU,9,4,8,1,fase grupos,1,,,,,,
copa america,1975,10,3,VEN,10,4,8,0,fase grupos,1,,,,,,
copa america,1979,10,3,PAR,1,9,18,12,campeon,3,,,,,,
copa america,1979,10,3,CHI,2,9,18,11,subcampeon,3,,,,,,
copa america,1979,10,3,BRA,3,6,12,6,3er lugar,2,,,,,,
copa america,1979,10,3,PER,4,2,4,1,semifinal,2,,,,,,
copa america,1979,10,3,COL,5,4,8,5,fase grupos,1,,,,,,
copa america,1979,10,3,URU,6,4,8,4,fase grupos,1,,,,,,
copa america,1979,10,3,BOL,7,4,8,4,fase grupos,1,,,,,,
copa america,1979,10,3,ARG,8,4,8,3,fase grupos,1,,,,,,
copa america,1979,10,3,ECU,9,4,8,2,fase grupos,1,,,,,,
copa america,1979,10,3,VEN,10,4,8,2,fase grupos,1,,,,,,
copa america,1983,10,3,URU,1,8,16,12,campeon,3,,,,,,
copa america,1983,10,3,BRA,2,8,16,8,subcampeon,3,,,,,,
copa america,1983,10,3,PER,3,6,12,7,3er lugar,2,,,,,,
copa america,1983,10,3,PAR,4,2,4,2,semifinal,2,,,,,,
copa america,1983,10,3,CHI,5,4,8,5,fase grupos,1,,,,,,
copa america,1983,10,3,ARG,6,4,8,5,fase grupos,1,,,,,,
copa america,1983,10,3,COL,7,4,8,4,fase grupos,1,,,,,,
copa america,1983,10,3,BOL,8,4,8,2,fase grupos,1,,,,,,
copa america,1983,10,3,ECU,9,4,8,2,fase grupos,1,,,,,,
copa america,1983,10,3,VEN,10,4,8,1,fase grupos,1,,,,,,
copa america,1987,10,3,URU,1,2,4,4,campeon,3,,,,,,
copa america,1987,10,3,CHI,2,4,8,6,subcampeon,3,,,,,,
copa america,1987,10,3,COL,3,4,8,6,3er lugar,2,,,,,,
copa america,1987,10,3,ARG,4,4,8,3,semifinal,2,,,,,,
copa america,1987,10,3,BRA,5,2,4,2,fase grupos,1,,,,,,
copa america,1987,10,3,PER,6,2,4,2,fase grupos,1,,,,,,
copa america,1987,10,3,BOL,7,2,4,1,fase grupos,1,,,,,,
copa america,1987,10,3,ECU,8,2,4,1,fase grupos,1,,,,,,
copa america,1987,10,3,PAR,9,2,4,1,fase grupos,1,,,,,,
copa america,1987,10,3,VEN,10,2,4,0,fase grupos,1,,,,,,
copa america,1989,10,2,BRA,1,7,14,12,campeon,2,,,,,,
copa america,1989,10,2,URU,2,7,14,8,subcampeon,2,,,,,,
copa america,1989,10,2,ARG,3,7,14,7,3er lugar,2,,,,,,
copa america,1989,10,2,PAR,4,7,14,7,4to lugar,2,,,,,,
copa america,1989,10,2,CHI,5,4,8,4,5to lugar,1,,,,,,
copa america,1989,10,2,COL,6,4,8,4,6to lugar,1,,,,,,
copa america,1989,10,2,ECU,7,4,8,4,7mo lugar,1,,,,,,
copa america,1989,10,2,PER,8,4,8,3,8vo lugar,1,,,,,,
copa america,1989,10,2,BOL,9,4,8,2,9no lugar,1,,,,,,
copa america,1989,10,2,VEN,10,4,8,1,10mo lugar,1,,,,,,
copa america,1991,10,2,ARG,1,7,14,13,campeon,2,,,,,,
copa america,1991,10,2,BRA,2,7,14,9,subcampeon,2,,,,,,
copa america,1991,10,2,CHI,3,7,14,8,3er lugar,2,,,,,,
copa america,1991,10,2,COL,4,7,14,6,4to lugar,2,,,,,,
copa america,1991,10,2,URU,5,4,8,5,5to lugar,1,,,,,,
copa america,1991,10,2,PAR,6,4,8,4,6to lugar,1,,,,,,
copa america,1991,10,2,ECU,7,4,8,3,7mo lugar,1,,,,,,
copa america,1991,10,2,PER,8,4,8,2,8vo lugar,1,,,,,,
copa america,1991,10,2,BOL,9,4,8,2,9no lugar,1,,,,,,
copa america,1991,10,2,VEN,10,4,8,0,10mo lugar,1,,,,,,
copa america,1993,12,4,ARG,1,6,12,8,campeon,4,,,,,,
copa america,1993,12,4,MEX,2,6,12,6,subcampeon,4,,,,,,
copa america,1993,12,4,COL,3,6,12,8,3er lugar,3,,,,,,
copa america,1993,12,4,ECU,4,6,12,8,semifinal,3,,,,,,
copa america,1993,12,4,BRA,5,4,8,4,1/4 final,2,,,,,,
copa america,1993,12,4,URU,6,4,8,4,1/4 final,2,,,,,,
copa america,1993,12,4,PER,7,4,8,4,1/4 final,2,,,,,,
copa america,1993,12,4,PAR,8,4,8,3,1/4 final,2,,,,,,
copa america,1993,12,4,CHI,9,3,6,2,fase grupos,1,,,,,,
copa america,1993,12,4,BOL,10,3,6,2,fase grupos,1,,,,,,
copa america,1993,12,4,VEN,11,3,6,2,fase grupos,1,,,,,,
copa america,1993,12,4,USA,12,3,6,1,fase grupos,1,,,,,,
copa america,1995,12,4,URU,1,6,18,14,campeon,4,,,,,,
copa america,1995,12,4,BRA,2,6,18,14,subcampeon,4,,,,,,
copa america,1995,12,4,COL,3,6,18,8,3er lugar,3,,,,,,
copa america,1995,12,4,USA,4,6,18,7,semifinal,3,,,,,,
copa america,1995,12,4,ARG,5,4,12,7,1/4 final,2,,,,,,
copa america,1995,12,4,PAR,6,4,12,7,1/4 final,2,,,,,,
copa america,1995,12,4,MEX,7,4,12,5,1/4 final,2,,,,,,
copa america,1995,12,4,BOL,8,4,12,4,1/4 final,2,,,,,,
copa america,1995,12,4,ECU,9,3,9,3,fase grupos,1,,,,,,
copa america,1995,12,4,PER,10,3,9,1,fase grupos,1,,,,,,
copa america,1995,12,4,CHI,11,3,9,1,fase grupos,1,,,,,,
copa america,1995,12,4,VEN,12,3,9,0,fase grupos,1,,,,,,
copa america,1997,12,4,BRA,1,6,18,18,campeon,4,,,,,,
copa america,1997,12,4,BOL,2,6,18,15,subcampeon,4,,,,,,
copa america,1997,12,4,MEX,3,6,18,8,3er lugar,3,,,,,,
copa america,1997,12,4,PER,4,6,18,9,semifinal,3,,,,,,
copa america,1997,12,4,ECU,5,4,12,8,1/4 final,2,,,,,,
copa america,1997,12,4,ARG,6,4,12,5,1/4 final,2,,,,,,
copa america,1997,12,4,PAR,7,4,12,4,1/4 final,2,,,,,,
copa america,1997,12,4,COL,8,4,12,3,1/4 final,2,,,,,,
copa america,1997,12,4,URU,9,3,9,3,fase grupos,1,,,,,,
copa america,1997,12,4,CRC,10,3,9,1,fase grupos,1,,,,,,
copa america,1997,12,4,CHI,11,3,9,0,fase grupos,1,,,,,,
copa america,1997,12,4,VEN,12,3,9,0,fase grupos,1,,,,,,
copa america,1999,12,4,BRA,1,6,18,18,campeon,4,,,,,,
copa america,1999,12,4,URU,2,6,18,5,subcampeon,4,,,,,,
copa america,1999,12,4,MEX,3,6,18,10,3er lugar,3,,,,,,
copa america,1999,12,4,CHI,4,6,18,7,semifinal,3,,,,,,
copa america,1999,12,4,COL,5,4,12,9,1/4 final,2,,,,,,
copa america,1999,12,4,PAR,6,4,12,8,1/4 final,2,,,,,,
copa america,1999,12,4,PER,7,4,12,7,1/4 final,2,,,,,,
copa america,1999,12,4,ARG,8,4,12,6,1/4 final,2,,,,,,
copa america,1999,12,4,BOL,9,3,9,2,fase grupos,1,,,,,,
copa america,1999,12,4,JAP,10,3,9,1,fase grupos,1,,,,,,
copa america,1999,12,4,ECU,11,3,9,0,fase grupos,1,,,,,,
copa america,1999,12,4,VEN,12,3,9,0,fase grupos,1,,,,,,
copa america,2001,12,4,COL,1,6,18,18,campeon,4,,,,,,
copa america,2001,12,4,MEX,2,6,18,10,subcampeon,4,,,,,,
copa america,2001,12,4,HON,3,6,18,10,3er lugar,3,,,,,,
copa america,2001,12,4,URU,4,6,18,8,semifinal,3,,,,,,
copa america,2001,12,4,CRC,5,4,12,7,1/4 final,2,,,,,,
copa america,2001,12,4,BRA,6,4,12,6,1/4 final,2,,,,,,
copa america,2001,12,4,CHI,7,4,12,6,1/4 final,2,,,,,,
copa america,2001,12,4,PER,8,4,12,4,1/4 final,2,,,,,,
copa america,2001,12,4,ECU,9,3,9,3,fase grupos,1,,,,,,
copa america,2001,12,4,PAR,10,3,9,2,fase grupos,1,,,,,,
copa america,2001,12,4,BOL,11,3,9,0,fase grupos,1,,,,,,
copa america,2001,12,4,VEN,12,3,9,0,fase grupos,1,,,,,,
copa america,2004,12,4,BRA,1,6,18,11,campeon,4,,,,,,
copa america,2004,12,4,ARG,2,6,18,13,subcampeon,4,,,,,,
copa america,2004,12,4,URU,3,6,18,11,3er lugar,3,,,,,,
copa america,2004,12,4,COL,4,6,18,10,semifinal,3,,,,,,
copa america,2004,12,4,PAR,5,4,12,7,1/4 final,2,,,,,,
copa america,2004,12,4,MEX,6,4,12,7,1/4 final,2,,,,,,
copa america,2004,12,4,PER,7,4,12,5,1/4 final,2,,,,,,
copa america,2004,12,4,CRC,8,4,12,3,1/4 final,2,,,,,,
copa america,2004,12,4,BOL,9,3,9,2,fase grupos,1,,,,,,
copa america,2004,12,4,CHI,10,3,9,1,fase grupos,1,,,,,,
copa america,2004,12,4,VEN,11,3,9,1,fase grupos,1,,,,,,
copa america,2004,12,4,ECU,12,3,9,0,fase grupos,1,,,,,,
copa america,2007,12,4,BRA,1,6,18,13,campeon,4,,,,,,
copa america,2007,12,4,ARG,2,6,18,15,subcampeon,4,,,,,,
copa america,2007,12,4,MEX,3,6,18,13,3er lugar,3,,,,,,
copa america,2007,12,4,URU,4,6,18,8,semifinal,3,,,,,,
copa america,2007,12,4,PAR,5,4,12,6,1/4 final,2,,,,,,
copa america,2007,12,4,VEN,6,4,12,5,1/4 final,2,,,,,,
copa america,2007,12,4,PER,7,4,12,4,1/4 final,2,,,,,,
copa america,2007,12,4,CHI,8,4,12,4,1/4 final,2,,,,,,
copa america,2007,12,4,COL,9,3,9,3,fase grupos,1,,,,,,
copa america,2007,12,4,BOL,10,3,9,2,fase grupos,1,,,,,,
copa america,2007,12,4,ECU,11,3,9,0,fase grupos,1,,,,,,
copa america,2007,12,4,USA,12,3,9,0,fase grupos,1,,,,,,
copa america,2011,12,4,URU,1,6,18,12,campeon,4,,,,,,
copa america,2011,12,4,PAR,2,6,18,5,subcampeon,4,,,,,,
copa america,2011,12,4,PER,3,6,18,10,3er lugar,3,,,,,,
copa america,2011,12,4,VEN,4,6,18,9,semifinal,3,,,,,,
copa america,2011,12,4,COL,5,4,12,7,1/4 final,2,,,,,,
copa america,2011,12,4,CHI,6,4,12,7,1/4 final,2,,,,,,
copa america,2011,12,4,ARG,7,4,12,6,1/4 final,2,,,,,,
copa america,2011,12,4,BRA,8,4,12,6,1/4 final,2,,,,,,
copa america,2011,12,4,CRC,9,3,9,3,fase grupos,1,,,,,,
copa america,2011,12,4,ECU,10,3,9,1,fase grupos,1,,,,,,
copa america,2011,12,4,BOL,11,3,9,1,fase grupos,1,,,,,,
copa america,2011,12,4,MEX,12,3,9,0,fase grupos,1,,,,,,
copa america,2015,12,4,CHI,1,6,18,14,campeon,4,,,,,,
copa america,2015,12,4,ARG,2,6,18,12,subcampeon,4,,,,,,
copa america,2015,12,4,PER,3,6,18,10,3er lugar,3,,,,,,
copa america,2015,12,4,PAR,4,6,18,6,semifinal,3,,,,,,
copa america,2015,12,4,BRA,5,4,12,7,1/4 final,2,,,,,,
copa america,2015,12,4,COL,6,4,12,5,1/4 final,2,,,,,,
copa america,2015,12,4,URU,7,4,12,4,1/4 final,2,,,,,,
copa america,2015,12,4,BOL,8,4,12,4,1/4 final,2,,,,,,
copa america,2015,12,4,VEN,9,3,9,3,fase grupos,1,,,,,,
copa america,2015,12,4,ECU,10,3,9,3,fase grupos,1,,,,,,
copa america,2015,12,4,MEX,11,3,9,2,fase grupos,1,,,,,,
copa america,2007,12,4,JAM,12,3,9,0,fase grupos,1,,,,,,
copa america,2016,16,4,CHI,1,6,18,13,campeon,4,,,,,,
copa america,2016,16,4,ARG,2,6,18,16,subcampeon,4,,,,,,
copa america,2016,16,4,COL,3,6,18,10,3er lugar,3,,,,,,
copa america,2016,16,4,USA,4,6,18,9,semifinal,3,,,,,,
copa america,2016,16,4,PER,5,4,12,8,1/4 final,2,,,,,,
copa america,2016,16,4,VEN,6,4,12,7,1/4 final,2,,,,,,
copa america,2016,16,4,MEX,7,4,12,7,1/4 final,2,,,,,,
copa america,2016,16,4,ECU,8,4,12,5,1/4 final,2,,,,,,
copa america,2016,16,4,BRA,9,3,9,4,fase grupos,1,,,,,,
copa america,2016,16,4,CRC,10,3,9,4,fase grupos,1,,,,,,
copa america,2016,16,4,URU,11,3,9,3,fase grupos,1,,,,,,
copa america,2016,16,4,PAN,12,3,9,3,fase grupos,1,,,,,,
copa america,2016,16,4,PAR,13,3,9,1,fase grupos,1,,,,,,
copa america,2016,16,4,BOL,14,3,9,0,fase grupos,1,,,,,,
copa america,2016,16,4,JAM,15,3,9,0,fase grupos,1,,,,,,
copa america,2016,16,4,HAI,16,3,9,0,fase grupos,1,,,,,,
copa america,2019,12,4,BRA,1,6,18,14,campeon,4,,,,,,
copa america,2019,12,4,PER,2,6,18,8,subcampeon,4,,,,,,
copa america,2019,12,4,ARG,3,6,18,10,3er lugar,3,,,,,,
copa america,2019,12,4,CHI,4,6,18,7,semifinal,3,,,,,,
copa america,2019,12,4,COL,5,4,12,10,1/4 final,2,,,,,,
copa america,2019,12,4,URU,6,4,12,8,1/4 final,2,,,,,,
copa america,2019,12,4,VEN,7,4,12,5,1/4 final,2,,,,,,
copa america,2019,12,4,PAR,8,4,12,3,1/4 final,2,,,,,,
copa america,2019,12,4,JAP,9,3,9,2,fase grupos,1,,,,,,
copa america,2019,12,4,QAT,10,3,9,1,fase grupos,1,,,,,,
copa america,2019,12,4,ECU,11,3,9,1,fase grupos,1,,,,,,
copa america,2019,12,4,BOL,12,3,9,0,fase grupos,1,,,,,,
copa america,2021,10,4,ARG,1,7,21,17,campeon,4,,,,,,
copa america,2021,10,4,BRA,2,7,21,16,subcampeon,4,,,,,,
copa america,2021,10,4,COL,3,7,21,9,3er lugar,3,,,,,,
copa america,2021,10,4,PER,4,7,21,8,semifinal,3,,,,,,
copa america,2021,10,4,URU,5,5,15,8,1/4 final,2,,,,,,
copa america,2021,10,4,PAR,6,5,15,7,1/4 final,2,,,,,,
copa america,2021,10,4,CHI,7,5,15,5,1/4 final,2,,,,,,
copa america,2021,10,4,ECU,8,5,15,3,1/4 final,2,,,,,,
copa america,2021,10,4,VEN,9,4,12,2,fase grupos,1,,,,,,
copa america,2021,10,4,BOL,10,4,12,0,fase grupos,1,,,,,,
copa america,2024,16,4,ARG,1,6,18,16,campeon,4,,,,,,
copa america,2024,16,4,COL,2,6,18,13,subcampeon,4,,,,,,
copa america,2024,16,4,URU,3,6,18,11,3er lugar,3,,,,,,
copa america,2024,16,4,CAN,4,6,18,6,semifinal,3,,,,,,
copa america,2024,16,4,VEN,5,4,12,10,1/4 final,2,,,,,,
copa america,2024,16,4,BRA,6,4,12,6,1/4 final,2,,,,,,
